,StaticClassifierStates,HmmStates,target
672,StairClimbing,StairClimbing,StairClimbing
673,StairClimbing,StairClimbing,StairClimbing
674,StairClimbing,StairClimbing,StairClimbing
675,StairClimbing,StairClimbing,StairClimbing
676,StairClimbing,StairClimbing,StairClimbing
677,StairClimbing,StairClimbing,StairClimbing
678,StairClimbing,StairClimbing,StairClimbing
679,StairClimbing,StairClimbing,StairClimbing
680,StairClimbing,StairClimbing,StairClimbing
681,StairClimbing,StairClimbing,StairClimbing
682,StairClimbing,StairClimbing,StairClimbing
683,StairClimbing,StairClimbing,StairClimbing
684,StairClimbing,StairClimbing,StairClimbing
685,Walking,StairClimbing,StairClimbing
686,StairClimbing,StairClimbing,StairClimbing
687,StairClimbing,StairClimbing,StairClimbing
688,StairClimbing,StairClimbing,StairClimbing
689,StairClimbing,StairClimbing,StairClimbing
690,StairClimbing,StairClimbing,StairClimbing
691,StairClimbing,StairClimbing,StairClimbing
692,StairClimbing,StairClimbing,StairClimbing
693,StairClimbing,StairClimbing,StairClimbing
694,Standing,StairClimbing,StairClimbing
695,StairClimbing,StairClimbing,StairClimbing
696,StairClimbing,StairClimbing,StairClimbing
697,Walking,StairClimbing,StairClimbing
698,StairClimbing,StairClimbing,StairClimbing
699,StairClimbing,StairClimbing,StairClimbing
700,StairClimbing,StairClimbing,StairClimbing
701,StairClimbing,StairClimbing,StairClimbing
702,Standing,StairClimbing,StairClimbing
703,StairClimbing,StairClimbing,StairClimbing
704,StairClimbing,StairClimbing,StairClimbing
705,StairClimbing,StairClimbing,StairClimbing
706,StairClimbing,StairClimbing,StairClimbing
707,StairClimbing,StairClimbing,StairClimbing
708,Walking,StairClimbing,StairClimbing
709,StairClimbing,StairClimbing,StairClimbing
710,StairClimbing,StairClimbing,StairClimbing
711,Walking,StairClimbing,StairClimbing
712,StairClimbing,StairClimbing,StairClimbing
713,Standing,StairClimbing,StairClimbing
714,StairClimbing,StairClimbing,StairClimbing
715,StairClimbing,StairClimbing,StairClimbing
716,StairClimbing,StairClimbing,StairClimbing
717,Walking,StairClimbing,StairClimbing
718,StairClimbing,StairClimbing,StairClimbing
719,StairClimbing,StairClimbing,StairClimbing
720,Walking,StairClimbing,StairClimbing
721,StairClimbing,StairClimbing,StairClimbing
722,StairClimbing,StairClimbing,StairClimbing
723,Walking,StairClimbing,StairClimbing
724,Walking,StairClimbing,StairClimbing
725,Lying,StairClimbing,StairClimbing
726,Walking,StairClimbing,StairClimbing
727,Walking,StairClimbing,StairClimbing
728,Standing,StairClimbing,StairClimbing
729,Lying,StairClimbing,StairClimbing
