,meanX,abs(meanX),meanY,abs(meanY),meanZ,abs(meanZ),skewX,skewY,skewZ,kurtosisX,kurtosisY,kurtosisZ,stdX,stdY,stdZ,rmsX,rmsY,rmsZ,minX,minY,minZ,maxX,maxY,maxZ,absMinX,absMinY,absMinZ,absMaxX,absMaxY,absMaxZ,meanXY,meanXZ,meanYZ,absMeanXY,absMeanXZ,absMeanYZ,overallMeanAcceleration,target
124,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
125,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
126,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
127,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
128,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
129,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
130,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
131,-0.921,0.921,0.381,0.381,-0.141,0.141,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.921,0.381,0.141,-0.921,0.381,-0.141,-0.921,0.381,-0.141,0.921,0.381,0.141,0.921,0.381,0.141,-0.350901,0.129861,-0.053721,0.350901,0.129861,0.053721,-0.227,Sitting
132,-0.9357833333333334,0.9357833333333334,0.3783166666666667,0.3783166666666667,0.009199999999999998,0.03853333333333333,-0.3030182166157814,-1.1527700609923923,0.8564117032455671,-0.40998533398622605,0.49142647640291015,1.1548046955859332,0.03847557305904905,0.06855788106086386,0.05168229871048694,0.9365739782135029,0.3844784562668412,0.05249476164342495,-1.026,0.194,-0.097,-0.862,0.478,0.16699999999999998,0.862,0.194,0.0,1.026,0.478,0.16699999999999998,-0.35217646666666663,-0.009437833333333335,0.001336916666666667,0.35217646666666663,0.009437833333333335,0.001336916666666667,-0.1827555555555556,Wheeling
133,-0.9288666666666666,0.9288666666666666,0.3958000000000001,0.3958000000000001,0.0034333333333333355,0.025166666666666664,0.7553058198011314,0.4617936330787718,-0.7270113805310074,1.863962017682554,-0.29869810943163166,-0.009051255555295068,0.026880889535545908,0.03945030629369899,0.030464387223262657,0.9292555443292586,0.39776119301242385,0.030657244929488802,-0.997,0.334,-0.085,-0.836,0.499,0.059,0.836,0.334,0.0,0.997,0.499,0.085,-0.3669432166666667,-0.003472166666666667,0.0006063166666666667,0.3669432166666667,0.003472166666666667,0.0006063166666666667,-0.17654444444444442,Wheeling
134,-0.9145666666666666,0.9145666666666666,0.43333333333333346,0.43333333333333346,-0.00018333333333333334,0.01601666666666667,0.8824504938757418,0.11542273783917856,0.07135127101332094,1.1728004885132988,1.2711487495816796,-0.4466605174559657,0.013510942067655985,0.02446266997329242,0.019499992877491577,0.9146664601554675,0.4340232712654934,0.019500854682124404,-0.935,0.375,-0.047,-0.871,0.513,0.047,0.871,0.375,0.0,0.935,0.513,0.047,-0.3961979,0.000102733333333333,-0.0002131500000000002,0.3961979,0.000102733333333333,0.0002131500000000002,-0.16047222222222216,Wheeling
135,-0.9110999999999999,0.9110999999999999,0.43850000000000006,0.43850000000000006,-0.009783333333333337,0.021983333333333334,-0.2855304788371619,-0.5445855741694897,1.0579690705888571,-0.39501533012891166,1.3490939566344968,1.8274447774462157,0.014597602542883554,0.024816996863708817,0.025217779221987188,0.9112169335564393,0.43920170005742615,0.027049029557453627,-0.947,0.35200000000000004,-0.059,-0.88,0.493,0.08199999999999999,0.88,0.35200000000000004,0.0,0.947,0.493,0.08199999999999999,-0.39941699999999997,0.008979066666666669,-0.004061116666666667,0.39941699999999997,0.008979066666666669,0.004061116666666667,-0.16079444444444438,Wheeling
136,-0.9062166666666667,0.9062166666666667,0.44565000000000016,0.44565000000000016,-0.02981666666666666,0.03541666666666666,0.15910559237390734,-0.4285925702607517,0.015410483905048815,-0.7925413438440021,-0.09840555659577355,-0.6830680226715073,0.026780024686736605,0.024553224499713533,0.031176642788400995,0.9066122747165223,0.4463258712346097,0.043139502392432236,-0.956,0.3720000000000001,-0.094,-0.85,0.49,0.038,0.85,0.3720000000000001,0.0,0.956,0.49,0.094,-0.40379236666666674,0.02696155,-0.012996816666666666,0.40379236666666674,0.02696155,0.012996816666666666,-0.16346111111111106,Wheeling
137,-0.9076333333333334,0.9076333333333334,0.44053333333333344,0.44053333333333344,-0.034183333333333336,0.042216666666666666,-0.4356228176374539,-0.08646024605742511,0.3898530889290229,-0.46148026882488,-0.4009059953474847,0.5980052937616303,0.023305197322104412,0.022793615090390747,0.036409472973694935,0.9079324864768304,0.4411226208965787,0.04994146573740102,-0.977,0.39,-0.114,-0.868,0.493,0.07,0.868,0.39,0.0,0.977,0.493,0.114,-0.3997549666666666,0.03094456666666667,-0.014634016666666668,0.3997549666666666,0.03094456666666667,0.014634016666666668,-0.16709444444444443,Wheeling
138,-0.91335,0.91335,0.43373333333333347,0.43373333333333347,0.0004499999999999991,0.026483333333333334,-0.05782464334672336,0.19590064664600063,-0.0893713560066242,-0.47431867179977605,-0.8027187876295514,-0.5157848132815399,0.026086922010846735,0.03534631836871022,0.03263200116450109,0.9137224688054902,0.4351711923676321,0.032635103799436585,-0.971,0.35200000000000004,-0.067,-0.862,0.499,0.07,0.862,0.35200000000000004,0.0,0.971,0.499,0.07,-0.3958299666666667,-0.0001406000000000009,0.000828,0.3958299666666667,0.0001406000000000009,0.000828,-0.15972222222222218,Wheeling
139,-0.9101333333333333,0.9101333333333333,0.43343333333333345,0.43343333333333345,-0.03556666666666666,0.043333333333333335,1.3855108412793846,0.385974638578993,-0.9402517769647261,1.7715404329793394,-1.0596086098063198,0.0018240907627027347,0.031912623764829416,0.042643235753816275,0.04978767138782674,0.9106926484824613,0.4355260038160753,0.06118659984016108,-0.956,0.3720000000000001,-0.155,-0.809,0.531,0.032,0.809,0.3720000000000001,0.0,0.956,0.531,0.155,-0.3936857333333334,0.031344533333333334,-0.01673685,0.3936857333333334,0.031344533333333334,0.01673685,-0.17075555555555552,Wheeling
140,-0.9017166666666667,0.9017166666666667,0.4526666666666667,0.4526666666666667,-0.047483333333333336,0.05181666666666666,0.6404166359002647,-0.11736213016361817,-0.30698471483640855,0.6850742629844806,-0.5000837290950386,-0.35514431540366953,0.02650540301313845,0.02412928142780514,0.042811015586593545,0.9021061375100679,0.45330931308912387,0.06393316823058279,-0.959,0.396,-0.138,-0.8240000000000001,0.507,0.056,0.8240000000000001,0.396,0.003,0.959,0.507,0.138,-0.40815298333333333,0.04259923333333333,-0.021034483333333336,0.40815298333333333,0.04259923333333333,0.021034483333333336,-0.1655111111111111,Wheeling
141,-0.9028833333333335,0.9028833333333335,0.4515,0.4515,-0.005266666666666666,0.04073333333333333,0.4821189721753958,0.6277035816928851,-0.20529770810390988,-0.6535994572822159,-0.5491502101655952,-1.0245831224564816,0.03281213782868909,0.047284070608750825,0.04791619999772752,0.9034793578162148,0.45396919866146573,0.04820477154805321,-0.959,0.387,-0.1,-0.821,0.56,0.08199999999999999,0.821,0.387,0.0,0.959,0.56,0.1,-0.4065167,0.0037446000000000003,-0.0036879,0.4065167,0.0037446000000000003,0.0036879,-0.1522166666666667,Wheeling
